     AlRight_1_n10 | PMTRow_1_n10 | -2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
       AlTop_1_n10 | PMTRow_1_n10 | 0.000000*cm 2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
    AlBottom_1_n10 | PMTRow_1_n10 | 0.000000*cm -2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
      Window_1_n10 | PMTRow_1_n10 | 0.000000*cm 0.000000*cm -1.275000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.07500000000000001*cm  | 
Photocathode_1_n10 | PMTRow_1_n10 | 0.000000*cm 0.000000*cm -1.150000*cm | 0 0 0 |      Box | 2.45*cm 2.45*cm 0.05*cm  | 
      Socket_1_n10 | PMTRow_1_n10 | 0.000000*cm 0.000000*cm 1.215000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.135*cm  | 
      PMTRow_1_n11 |       fc | -48.856384*cm -5.300000*cm 692.858482*cm | ordered: yzx 0.0*deg -90.0*deg 25.0*deg |      Box | 2.6*cm 2.6*cm 1.35*cm  | 
      AlLeft_1_n11 | PMTRow_1_n11 | 2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
     AlRight_1_n11 | PMTRow_1_n11 | -2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
       AlTop_1_n11 | PMTRow_1_n11 | 0.000000*cm 2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
    AlBottom_1_n11 | PMTRow_1_n11 | 0.000000*cm -2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
      Window_1_n11 | PMTRow_1_n11 | 0.000000*cm 0.000000*cm -1.275000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.07500000000000001*cm  | 
Photocathode_1_n11 | PMTRow_1_n11 | 0.000000*cm 0.000000*cm -1.150000*cm | 0 0 0 |      Box | 2.45*cm 2.45*cm 0.05*cm  | 
      Socket_1_n11 | PMTRow_1_n11 | 0.000000*cm 0.000000*cm 1.215000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.135*cm  | 
      PMTRow_1_n12 |       fc | -48.856384*cm -10.600000*cm 692.858482*cm | ordered: yzx 0.0*deg -90.0*deg 25.0*deg |      Box | 2.6*cm 2.6*cm 1.35*cm  | 
      AlLeft_1_n12 | PMTRow_1_n12 | 2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
